rail_id	cell_line	sra_attribute.disease	sra_attribute.ethnicity	sra_attribute.disease_stage	sra.experiment_attributes	primary_site
SRR8615254	NCI-H2052	metastasis	Caucasian	mesothelioma	age;;65|biomaterial_provider;;ATCC:NCI-H2052|BioSampleModel;;Human|cell_line;;NCI-H2052|disease;;mesothelioma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pleura	pleura
SRR8615255	NCI-H2030	metastasis	Caucasian	carcinoma (non_small_cell_carcinoma)	age;;NA|biomaterial_provider;;ATCC:NCI-H2030|BioSampleModel;;Human|cell_line;;NCI-H2030|disease;;carcinoma (non_small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615256	NCI-H2029	metastasis	Caucasian	carcinoma (small_cell_carcinoma)	age;;69|biomaterial_provider;;ATCC:NCI-H2029|BioSampleModel;;Human|cell_line;;NCI-H2029|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8615257	NCI-H2023	metastasis	Caucasian	carcinoma (adenocarcinoma)	age;;26|biomaterial_provider;;ATCC:NCI-H2023|BioSampleModel;;Human|cell_line;;NCI-H2023|disease;;carcinoma (adenocarcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615258	NCI-H2009	metastasis	Caucasian	carcinoma (adenocarcinoma)	age;;68|biomaterial_provider;;ATCC:NCI-H2009|BioSampleModel;;Human|cell_line;;NCI-H2009|disease;;carcinoma (adenocarcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8615259	NCI-H2004 RT	NA	NA	NA	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;NCI-H2004 RT|disease;;NA|disease_stage;;NA|ethnicity;;NA|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;soft_tissue	soft_tissue
SRR8615260	NCI-H1975	primary	Caucasian	carcinoma (non_small_cell_carcinoma)	age;;NA|biomaterial_provider;;ATCC:NCI-H1975|BioSampleModel;;Human|cell_line;;NCI-H1975|disease;;carcinoma (non_small_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
SRR8615261	NCI-H196	metastasis	Caucasian	carcinoma (small_cell_carcinoma)	age;;68|biomaterial_provider;;ATCC:NCI-H196|BioSampleModel;;Human|cell_line;;NCI-H196|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615262	OCI-M1	primary	Caucasian	"haematopoietic_neoplasm (acute_myeloid_leukaemia, M6)"	"age;;62|biomaterial_provider;;DSMZ:OCI-M1|BioSampleModel;;Human|cell_line;;OCI-M1|disease;;haematopoietic_neoplasm (acute_myeloid_leukaemia, M6)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;haematopoietic_and_lymphoid_tissue"	haematopoietic_and_lymphoid_tissue
SRR8615263	OCI-LY3	primary	Caucasian	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	age;;NA|biomaterial_provider;;ACADEMIC|BioSampleModel;;Human|cell_line;;OCI-LY3|disease;;lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615264	CAL-51	metastasis	Caucasian	carcinoma	age;;45|biomaterial_provider;;DSMZ:CAL-51|BioSampleModel;;Human|cell_line;;CAL-51|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615265	CAL-33	primary	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;69|biomaterial_provider;;DSMZ:CAL-33|BioSampleModel;;Human|cell_line;;CAL-33|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615266	CAL-29	primary	Caucasian	carcinoma (transitional_cell_carcinoma)	age;;80|biomaterial_provider;;DSMZ:CAL-29|BioSampleModel;;Human|cell_line;;CAL-29|disease;;carcinoma (transitional_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;urinary_tract	urinary_tract
SRR8615267	CAL 27	primary	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;56|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;CAL 27|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615268	CAL-148	metastasis	Caucasian	carcinoma (ductal_carcinoma)	age;;58|biomaterial_provider;;DSMZ:CAL-148|BioSampleModel;;Human|cell_line;;CAL-148|disease;;carcinoma (ductal_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615269	CAL-12T	primary	Caucasian	carcinoma (non_small_cell_carcinoma)	age;;NA|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;CAL-12T|disease;;carcinoma (non_small_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615270	CAL-120	metastasis	Caucasian	carcinoma	age;;43|biomaterial_provider;;DSMZ:CAL-120|BioSampleModel;;Human|cell_line;;CAL-120|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615271	Caki-2	primary	Caucasian	carcinoma (clear_cell_renal_cell_carcinoma)	age;;69|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;Caki-2|disease;;carcinoma (clear_cell_renal_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;kidney	kidney
SRR8615272	Caki-1	metastasis	Caucasian	carcinoma (clear_cell_renal_cell_carcinoma)	age;;49|biomaterial_provider;;ATCC:Caki-1|BioSampleModel;;Human|cell_line;;Caki-1|disease;;carcinoma (clear_cell_renal_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;kidney	kidney
SRR8615273	CADO-ES1	metastasis	Asian	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	age;;19|biomaterial_provider;;DSMZ:CADO-ES1|BioSampleModel;;Human|cell_line;;CADO-ES1|disease;;Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;bone	bone
SRR8615274	EC-GI-10	primary	Asian	carcinoma	age;;65|biomaterial_provider;;RIKEN:EC-GI-10|BioSampleModel;;Human|cell_line;;EC-GI-10|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;oesophagus	oesophagus
SRR8615275	HEC-1-A	primary	Asian	carcinoma (adenocarcinoma)	age;;71|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;HEC-1-A|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;endometrium	endometrium
SRR8615276	HEC-151	primary	Asian	carcinoma (adenocarcinoma)	age;;NA|biomaterial_provider;;HSSRB|BioSampleModel;;Human|cell_line;;HEC-151|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;endometrium	endometrium
SRR8615277	HEC-108	primary	Asian	carcinoma (adenocarcinoma)	age;;NA|biomaterial_provider;;HSSRB|BioSampleModel;;Human|cell_line;;HEC-108|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;endometrium	endometrium
SRR8615278	HDQ-P1	primary	Caucasian	carcinoma (ductal_carcinoma)	age;;50|biomaterial_provider;;DSMZ:HDQ-P1|BioSampleModel;;Human|cell_line;;HDQ-P1|disease;;carcinoma (ductal_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615279	HD-MY-Z	metastasis	Caucasian	lymphoid_neoplasm (Hodgkin_lymphoma)	age;;29|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;HD-MY-Z|disease;;lymphoid_neoplasm (Hodgkin_lymphoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615280	HDLM-2	metastasis	Caucasian	lymphoid_neoplasm (Hodgkin_lymphoma)	age;;74|biomaterial_provider;;DSMZ:HDLM-2|BioSampleModel;;Human|cell_line;;HDLM-2|disease;;lymphoid_neoplasm (Hodgkin_lymphoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615281	HCT-15	primary	Caucasian	carcinoma (adenocarcinoma)	age;;NA|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;HCT-15|disease;;carcinoma (adenocarcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;large_intestine	large_intestine
SRR8615290	EFO-21	metastasis	Caucasian	carcinoma (serous_carcinoma)	age;;56|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;EFO-21|disease;;carcinoma (serous_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;ovary	ovary
SRR8615291	EFE-184	metastasis	Caucasian	carcinoma	age;;69|biomaterial_provider;;DSMZ:EFE-184|BioSampleModel;;Human|cell_line;;EFE-184|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;endometrium	endometrium
SRR8615292	EFM-192A	metastasis	Caucasian	carcinoma	age;;46|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;EFM-192A|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615293	EM-2	primary	Caucasian	haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)	age;;5|biomaterial_provider;;DSMZ:EM-2|BioSampleModel;;Human|cell_line;;EM-2|disease;;haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615294	EN	primary	Asian	carcinoma	age;;50|biomaterial_provider;;DSMZ:EN|BioSampleModel;;Human|cell_line;;EN|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;endometrium	endometrium
SRR8615296	PK-1	primary	Asian	carcinoma	age;;NA|biomaterial_provider;;RIKEN:PK-1|BioSampleModel;;Human|cell_line;;PK-1|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;pancreas	pancreas
SRR8615298	PE/CA-PJ41 (clone D2)	primary	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;67|biomaterial_provider;;ECACC:PE/CA-PJ41 (clone D2)|BioSampleModel;;Human|cell_line;;PE/CA-PJ41 (clone D2)|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615299	PE/CA-PJ34 (clone C12)	primary	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;60|biomaterial_provider;;ECACC:PE/CA-PJ34 (clone C12)|BioSampleModel;;Human|cell_line;;PE/CA-PJ34 (clone C12)|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615300	DU 145	metastasis	Caucasian	carcinoma	age;;69|biomaterial_provider;;ATCC:DU 145|BioSampleModel;;Human|cell_line;;DU 145|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;prostate	prostate
SRR8618300	VM-CUB1	primary	Caucasian	carcinoma (transitional_cell_carcinoma)	age;;NA|biomaterial_provider;;DSMZ:VM-CUB1|BioSampleModel;;Human|cell_line;;VM-CUB1|disease;;carcinoma (transitional_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;urinary_tract	urinary_tract
SRR8615301	PC9	NA	NA	NA	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;PC9|disease;;NA|disease_stage;;NA|ethnicity;;NA|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;lung	lung
SRR8618301	ZR-75-1	metastasis	Caucasian	carcinoma (ductal_carcinoma)	age;;63|biomaterial_provider;;ATCC:ZR-75-1|BioSampleModel;;Human|cell_line;;ZR-75-1|disease;;carcinoma (ductal_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615303	PF-382	metastasis	Caucasian	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	age;;6|biomaterial_provider;;DSMZ:PF-382|BioSampleModel;;Human|cell_line;;PF-382|disease;;lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615304	PEER	primary	Caucasian	lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)	age;;4|biomaterial_provider;;HSRRB|BioSampleModel;;Human|cell_line;;PEER|disease;;lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8618304	ZR-75-30	metastasis	African_american	carcinoma (ductal_carcinoma)	age;;47|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;ZR-75-30|disease;;carcinoma (ductal_carcinoma)|disease_stage;;metastasis|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615305	PE/CA-PJ49	primary	Caucasian	carcinoma (squamous_cell_carcinoma)	age;;57|biomaterial_provider;;ECACC:PE/CA-PJ49|BioSampleModel;;Human|cell_line;;PE/CA-PJ49|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615306	SNU-308	primary	Asian	carcinoma	age;;NA|biomaterial_provider;;KCLB:SNU-308|BioSampleModel;;Human|cell_line;;SNU-308|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;biliary_tract	biliary_tract
SRR8618306	YAPC	metastasis	Asian	carcinoma	age;;43|biomaterial_provider;;DSMZ:YAPC|BioSampleModel;;Human|cell_line;;YAPC|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pancreas	pancreas
SRR8615307	SNU-283	primary	Asian	carcinoma	age;;62|biomaterial_provider;;KCLB:SNU-283|BioSampleModel;;Human|cell_line;;SNU-283|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;large_intestine	large_intestine
SRR8618307	WSU-DLCL2	metastasis	Caucasian	lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)	age;;41|biomaterial_provider;;DSMZ:WSU-DLCL2|BioSampleModel;;Human|cell_line;;WSU-DLCL2|disease;;lymphoid_neoplasm (diffuse_large_B_cell_lymphoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615309	SNU-216	metastasis	Asian	carcinoma	age;;46|biomaterial_provider;;KCLB:SNU-216|BioSampleModel;;Human|cell_line;;SNU-216|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;stomach	stomach
SRR8618309	YD-10B	primary	Asian	carcinoma (squamous_cell_carcinoma)	age;;67|biomaterial_provider;;KCLB:YD-10B|BioSampleModel;;Human|cell_line;;YD-10B|disease;;carcinoma (squamous_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615311	SNU-387	primary	Asian	carcinoma (hepatocellular_carcinoma)	age;;41|biomaterial_provider;;ATCC:SNU-387|BioSampleModel;;Human|cell_line;;SNU-387|disease;;carcinoma (hepatocellular_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;liver	liver
SRR8615312	SNU-349	primary	Asian	carcinoma (clear_cell_renal_cell_carcinoma)	age;;68|biomaterial_provider;;KCLB:SNU-349|BioSampleModel;;Human|cell_line;;SNU-349|disease;;carcinoma (clear_cell_renal_cell_carcinoma)|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;kidney	kidney
SRR8615313	SNU-324	primary	Asian	carcinoma	age;;50|biomaterial_provider;;KCLB:SNU-324|BioSampleModel;;Human|cell_line;;SNU-324|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pancreas	pancreas
SRR8615314	NALM-1	primary	African_american	haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)	age;;3|biomaterial_provider;;DSMZ:NALM-1|BioSampleModel;;Human|cell_line;;NALM-1|disease;;haematopoietic_neoplasm (blast_phase_chronic_myeloid_leukaemia)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;haematopoietic_and_lymphoid_tissue	haematopoietic_and_lymphoid_tissue
SRR8615316	SNU-410	primary	Asian	carcinoma	age;;53|biomaterial_provider;;KCLB:SNU-410|BioSampleModel;;Human|cell_line;;SNU-410|disease;;carcinoma|disease_stage;;primary|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pancreas	pancreas
SRR8615317	SNU-407	metastasis	Asian	carcinoma	age;;37|biomaterial_provider;;KCLB:SNU-407|BioSampleModel;;Human|cell_line;;SNU-407|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Asian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;large_intestine	large_intestine
SRR8615320	Hs 766T	metastasis	Caucasian	carcinoma (ductal_carcinoma)	age;;46|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;Hs 766T|disease;;carcinoma (ductal_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;pancreas	pancreas
SRR8615321	Hs 742.T	primary	Caucasian	carcinoma	age;;71|biomaterial_provider;;ATCC:Hs 742.T|BioSampleModel;;Human|cell_line;;Hs 742.T|disease;;carcinoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615322	Hs 746T	metastasis	Caucasian	carcinoma	age;;74|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;Hs 746T|disease;;carcinoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;stomach	stomach
SRR8615323	Hs 822.T	primary	Caucasian	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	age;;9|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;Hs 822.T|disease;;Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;bone	bone
SRR8615324	Hs 834.T	metastasis	Caucasian	malignant_melanoma	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;Hs 834.T|disease;;malignant_melanoma|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;skin	skin
SRR8615325	Hs 819.T	primary	Caucasian	chondrosarcoma	age;;60|biomaterial_provider;;NIBRI|BioSampleModel;;Human|cell_line;;Hs 819.T|disease;;chondrosarcoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;bone	bone
SRR8615326	Hs 821.T	primary	Caucasian	giant_cell_tumour	age;;31|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;Hs 821.T|disease;;giant_cell_tumour|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;bone	bone
SRR8615327	Hs 839.T	primary	Caucasian	malignant_melanoma	age;;42|biomaterial_provider;;ATCC:Hs 839.T|BioSampleModel;;Human|cell_line;;Hs 839.T|disease;;malignant_melanoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;skin	skin
SRR8615328	Hs 840.T	benign_neoplasia	Caucasian	other (papilloma)	age;;7|biomaterial_provider;;GNF|BioSampleModel;;Human|cell_line;;Hs 840.T|disease;;other (papilloma)|disease_stage;;benign_neoplasia|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;upper_aerodigestive_tract	upper_aerodigestive_tract
SRR8615329	NCI-H1105	metastasis	Caucasian	carcinoma (small_cell_carcinoma)	age;;73|biomaterial_provider;;ATCC:NCI-H1105|BioSampleModel;;Human|cell_line;;NCI-H1105|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615330	SF767	NA	Caucasian	glioma (astrocytoma_Grade_III-IV)	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;SF767|disease;;glioma (astrocytoma_Grade_III-IV)|disease_stage;;NA|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;central_nervous_system	central_nervous_system
SRR8615331	NCI-H1092	metastasis	Caucasian	carcinoma (small_cell_carcinoma)	age;;67|biomaterial_provider;;ATCC:NCI-H1092|BioSampleModel;;Human|cell_line;;NCI-H1092|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;lung	lung
SRR8615332	UOK101	NA	Caucasian	carcinoma (clear_cell_renal_cell_carcinoma)	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;UOK101|disease;;carcinoma (clear_cell_renal_cell_carcinoma)|disease_stage;;NA|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;kidney	kidney
SRR8615333	UO-31	primary	Caucasian	carcinoma (renal_cell_carcinoma)	age;;NA|biomaterial_provider;;Garraway Lab|BioSampleModel;;Human|cell_line;;UO-31|disease;;carcinoma (renal_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;kidney	kidney
SRR8615334	UM-UC-3	primary	Caucasian	carcinoma (transitional_cell_carcinoma)	age;;NA|biomaterial_provider;;ATCC:UM-UC-3|BioSampleModel;;Human|cell_line;;UM-UC-3|disease;;carcinoma (transitional_cell_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;urinary_tract	urinary_tract
SRR8615335	UM-UC-1	primary	African_american	carcinoma (transitional_cell_carcinoma)	age;;NA|biomaterial_provider;;ECACC:UM-UC-1|BioSampleModel;;Human|cell_line;;UM-UC-1|disease;;carcinoma (transitional_cell_carcinoma)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;male|tissue;;urinary_tract	urinary_tract
SRR8615336	U-BLC1	primary	African_american	carcinoma (transitional_cell_carcinoma)	age;;NA|biomaterial_provider;;ECACC:U-BLC1|BioSampleModel;;Human|cell_line;;U-BLC1|disease;;carcinoma (transitional_cell_carcinoma)|disease_stage;;primary|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;urinary_tract	urinary_tract
SRR8615337	UACC-893	primary	Caucasian	carcinoma (ductal_carcinoma)	age;;57|biomaterial_provider;;ATCC:UACC-893|BioSampleModel;;Human|cell_line;;UACC-893|disease;;carcinoma (ductal_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615338	UACC-812	primary	Caucasian	carcinoma (ductal_carcinoma)	age;;43|biomaterial_provider;;ATCC:UACC-812|BioSampleModel;;Human|cell_line;;UACC-812|disease;;carcinoma (ductal_carcinoma)|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;breast	breast
SRR8615339	UACC-62	primary	Caucasian	malignant_melanoma	age;;NA|biomaterial_provider;;NA|BioSampleModel;;Human|cell_line;;UACC-62|disease;;malignant_melanoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;skin	skin
SRR8615340	UACC-257	primary	Caucasian	malignant_melanoma	age;;NA|biomaterial_provider;;NCI/DCTD|BioSampleModel;;Human|cell_line;;UACC-257|disease;;malignant_melanoma|disease_stage;;primary|ethnicity;;Caucasian|isolate;;cell line|sample_type;;cell culture|sex;;NA|tissue;;skin	skin
SRR8615341	NCI-H1048	metastasis	African_american	carcinoma (small_cell_carcinoma)	age;;NA|biomaterial_provider;;ATCC:NCI-H1048|BioSampleModel;;Human|cell_line;;NCI-H1048|disease;;carcinoma (small_cell_carcinoma)|disease_stage;;metastasis|ethnicity;;African_american|isolate;;cell line|sample_type;;cell culture|sex;;female|tissue;;lung	lung
